year,ssp1,ssp2,ssp3,ssp4,ssp5
2186,1390.61198,1463.556128,512.7986414,741.9392865,3080.098575
2187,1394.05981,1468.461207,513.1034603,743.303666,3090.459166
2188,1397.451212,1473.288201,513.4014573,744.6438617,3100.651591
2189,1400.786843,1478.037957,513.6928072,745.9602434,3110.677831
2190,1404.067367,1482.711328,513.9776792,747.2531777,3120.539877
2191,1407.29345,1487.309174,514.2562376,748.523028,3130.239727
2192,1410.465762,1491.832361,514.5286414,749.770154,3139.779379
2193,1413.584974,1496.281762,514.7950449,750.9949125,3149.160839
2194,1416.651759,1500.658251,515.0555978,752.1976562,3158.386109
2195,1419.666791,1504.962707,515.3104451,753.3787347,3167.457195
2196,1422.630745,1509.196012,515.5597276,754.5384936,3176.3761
2197,1425.544296,1513.35905,515.8035819,755.677275,3185.144824
2198,1428.408116,1517.452705,516.0421406,756.7954174,3193.765364
2199,1431.222879,1521.477864,516.2755324,757.8932553,3202.239712
2200,1433.989256,1525.435411,516.5038823,758.9711195,3210.569855
2201,1436.707918,1529.326231,516.7273115,760.0293369,3218.757771
2202,1439.379531,1533.151209,516.945938,761.0682308,3226.805431
2203,1442.00476,1536.911226,517.1598763,762.0881203,3234.7148
2204,1444.584268,1540.607163,517.3692376,763.0893207,3242.487829
2205,1447.118713,1544.239898,517.57413,764.0721436,3250.126461
2206,1449.60875,1547.810304,517.7746587,765.0368965,3257.632628
2207,1452.055031,1551.319252,517.9709259,765.9838829,3265.00825
2208,1454.458204,1554.76761,518.1630309,766.9134026,3272.255234
2209,1456.818911,1558.156239,518.3510704,767.8257513,3279.375475
2210,1459.13779,1561.485999,518.5351383,768.7212209,3286.370851
2211,1461.415476,1564.757741,518.7153262,769.6000992,3293.243231
2212,1463.652597,1567.972314,518.891723,770.4626703,3299.994464
2213,1465.849777,1571.130559,519.0644154,771.3092142,3306.626388
2214,1468.007634,1574.233312,519.2334877,772.1400072,3313.140822
2215,1470.12678,1577.281404,519.3990219,772.9553216,3319.539571
2216,1472.207823,1580.275658,519.5610981,773.7554258,3325.824422
2217,1474.251365,1583.216891,519.719794,774.5405846,3331.997146
2218,1476.258,1586.105912,519.8751855,775.3110586,3338.059498
2219,1478.228317,1588.943524,520.0273465,776.0671049,3344.013212
2220,1480.162901,1591.730524,520.176349,776.8089767,3349.860008
2221,1482.062328,1594.467699,520.322263,777.5369236,3355.601587
2222,1483.927168,1597.155831,520.465157,778.2511911,3361.23963
2223,1485.757988,1599.795691,520.6050976,778.9520215,3366.775801
2224,1487.555343,1602.388045,520.7421498,779.639653,3372.211747
2225,1489.319786,1604.933651,520.8763769,780.3143204,3377.549092
2226,1491.051862,1607.433257,521.0078407,780.9762548,3382.789446
2227,1492.75211,1609.887605,521.1366015,781.6256838,3387.934397
2228,1494.42106,1612.297427,521.2627181,782.2628314,3392.985515
2229,1496.059238,1614.663447,521.3862477,782.887918,3397.944351
2230,1497.667163,1616.986382,521.5072464,783.5011606,3402.812436
2231,1499.245346,1619.266939,521.6257687,784.1027729,3407.591283
2232,1500.794292,1621.505817,521.741868,784.6929649,3412.282384
2233,1502.314501,1623.703707,521.8555962,785.2719435,3416.887213
2234,1503.806463,1625.861291,521.9670041,785.839912,3421.407226
2235,1505.270665,1627.979243,522.0761413,786.3970707,3425.843857
2236,1506.707584,1630.058228,522.1830561,786.9436163,3430.198522
2237,1508.117692,1632.098901,522.287796,787.4797426,3434.472619
2238,1509.501454,1634.101911,522.3904069,788.00564,3438.667525
2239,1510.859329,1636.067896,522.490934,788.5214958,3442.7846
2240,1512.19177,1637.997489,522.5894213,789.0274942,3446.825183
2241,1513.499221,1639.891309,522.6859119,789.5238164,3450.790595
2242,1514.782122,1641.749972,522.7804477,790.0106403,3454.682139
2243,1516.040904,1643.574083,522.8730699,790.4881412,3458.501097
2244,1517.275995,1645.364237,522.9638186,790.9564912,3462.248735
2245,1518.487814,1647.121022,523.0527329,791.4158594,3465.926299
2246,1519.676774,1648.84502,523.1398513,791.8664123,3469.535018
2247,1520.843282,1650.5368,523.2252111,792.3083133,3473.0761
2248,1521.98774,1652.196927,523.3088491,792.741723,3476.550738
2249,1523.110541,1653.825954,523.390801,793.1667995,3479.960105
2250,1524.212075,1655.424429,523.4711018,793.583698,3483.305358
2251,1525.292724,1656.99289,523.5497858,793.9925708,3486.587635
2252,1526.352864,1658.531867,523.6268864,794.3935681,3489.808055
2253,1527.392866,1660.041882,523.7024364,794.7868368,3492.967724
2254,1528.413094,1661.523451,523.7764677,795.1725219,3496.067727
2255,1529.413907,1662.977079,523.8490117,795.5507653,3499.109133
2256,1530.395658,1664.403266,523.920099,795.9217067,3502.092994
2257,1531.358694,1665.802501,523.9897595,796.2854834,3505.020346
2258,1532.303356,1667.175269,524.0580225,796.6422301,3507.892209
2259,1533.229981,1668.522045,524.1249168,796.9920791,3510.709584
2260,1534.138898,1669.843297,524.1904703,797.3351605,3513.47346
2261,1535.030434,1671.139486,524.2547105,797.6716019,3516.184805
2262,1535.904906,1672.411064,524.3176643,798.0015289,3518.844575
2263,1536.76263,1673.658478,524.3793578,798.3250645,3521.453709
2264,1537.603915,1674.882167,524.4398169,798.6423298,3524.013132
2265,1538.429063,1676.082562,524.4990666,798.9534435,3526.523751
2266,1539.238374,1677.260088,524.5571316,799.2585223,3528.986459
2267,1540.032142,1678.415162,524.614036,799.5576807,3531.402137
2268,1540.810653,1679.548195,524.6698034,799.8510312,3533.771646
2269,1541.574193,1680.65959,524.7244569,800.1386842,3536.095837
2270,1542.32304,1681.749746,524.778019,800.4207482,3538.375545
2271,1543.057467,1682.819051,524.8305119,800.6973296,3540.611591
2272,1543.777745,1683.867892,524.8819572,800.9685329,3542.804782
2273,1544.484136,1684.896644,524.9323762,801.2344608,3544.95591
2274,1545.176902,1685.905678,524.9817896,801.4952139,3547.065756
2275,1545.856297,1686.895361,525.0302177,801.7508911,3549.135086
2276,1546.522572,1687.866049,525.0776804,802.0015895,3551.164653
2277,1547.175974,1688.818097,525.1241973,802.2474044,3553.155198
2278,1547.816745,1689.751849,525.1697873,802.4884292,3555.107447
2279,1548.445123,1690.667646,525.2144692,802.7247558,3557.022114
2280,1549.06134,1691.565823,525.2582612,802.9564743,3558.899904
2281,1549.665628,1692.446709,525.3011813,803.183673,3560.741504
2282,1550.25821,1693.310627,525.3432469,803.4064389,3562.547593
2283,1550.839309,1694.157893,525.3844754,803.6248569,3564.318838
2284,1551.409141,1694.98882,525.4248835,803.8390109,3566.055891
2285,1551.967921,1695.803714,525.4644877,804.0489827,3567.759396
2286,1552.515857,1696.602876,525.5033041,804.2548529,3569.429984
2287,1553.053156,1697.386602,525.5413485,804.4567005,3571.068275
2288,1553.58002,1698.155182,525.5786364,804.654603,3572.674877
2289,1554.096647,1698.908901,525.615183,804.8486365,3574.25039
2290,1554.603233,1699.648039,525.6510032,805.0388756,3575.7954
2291,1555.099967,1700.372872,525.6861114,805.2253936,3577.310484
2292,1555.587039,1701.08367,525.720522,805.4082624,3578.796208
2293,1556.064632,1701.780698,525.7542489,805.5875524,3580.25313
2294,1556.532929,1702.464217,525.7873058,805.7633329,3581.681795
2295,1556.992105,1703.134483,525.819706,805.9356718,3583.082739
2296,1557.442337,1703.791748,525.8514627,806.1046356,3584.45649
2297,1557.883794,1704.436257,525.8825888,806.2702898,3585.803564
2298,1558.316646,1705.068254,525.9130969,806.4326984,3587.124469
2299,1558.741056,1705.687976,525.9429992,806.5919243,3588.419703
2300,1559.157188,1706.295658,525.972308,806.7480293,3589.689757
2301,1559.565577,1706.891866,526.0009407,806.9011146,3590.935453
2302,1559.965983,1707.476471,526.029008,807.0511969,3592.156903
2303,1560.35856,1708.049695,526.056521,807.1983345,3593.354571
2304,1560.74346,1708.611756,526.0834906,807.3425846,3594.528912
